department,product_category,total_sales_value,total_baskets,unique_households,unique_products
GROCERY,FLOUR & MEALS,3114.57,1685,837,69
DRUG GM,CANDLES/ACCESSORIES,2980.07,569,356,326
DELI,SANDWICHES,2959.6600000000003,509,191,50
PASTRY,SWEET GOODS & SNACKS,2916.6200000000003,886,419,102
DELI,SUSHI,2859.04,345,95,66
DRUG GM,HARDWARE SUPPLIES,2847.7200000000003,648,435,268
FLORAL,FLORAL-FLOWERING PLANTS,2779.4900000000002,289,231,96
DRUG GM,COFFEE FILTERS,2722.68,928,514,94
DRUG GM,FAMILY PLANNING,2638.93,307,215,94
PRODUCE,PEARS,2570.9,1138,444,23
COSMETICS,BATH,2559.18,592,386,269
DRUG GM,HAIR CARE ACCESSORIES,2550.79,713,448,295
PRODUCE,CORN,2534.02,1541,647,16
DELI,SNACKS,2388.19,713,320,87
SEAFOOD-PCKGD,SEAFOOD-FRESH,2361.2200000000003,566,279,59
GROCERY,FROZEN CHICKEN,2315.62,257,144,14
NUTRITION,WATER,2278.44,868,295,57
PRODUCE,HERBS,2206.05,1746,635,62
NUTRITION,JUICE,2201.03,575,236,83
GROCERY,CANNED MILK,2186.92,1028,533,38
GROCERY,COUPON/MISC ITEMS,2186.21,674,507,12
NUTRITION,SNKS/CKYS/CRKR/CNDY,2171.58,552,226,196
DRUG GM,APPAREL,2101.32,235,173,148
DRUG GM,LAWN AND GARDEN SHOP,2100.38,199,137,79
NUTRITION,RICE CAKES,2083.77,715,315,48
DRUG GM,DOMESTIC GOODS,2080.97,480,334,177
DRUG GM,TOBACCO OTHER,2049.07,533,287,71
DRUG GM,FOOT CARE PRODUCTS,2029.4,290,188,107
DRUG GM,INSECTICIDES,1995.24,390,301,97
DRUG GM,HALLOWEEN,1964.0,310,234,254
DRUG GM,DISPOSIBLE FOILWARE,1950.95,532,372,36
DRUG GM,SUNTAN,1887.48,229,186,131
PRODUCE,SQUASH,1854.53,1180,406,20
DRUG GM,AUTOMOTIVE PRODUCTS,1757.69,435,310,129
DRUG GM,J-HOOKS,1725.5600000000002,493,343,252
DRUG GM,IRONING AND CHEMICALS,1704.03,218,165,76
NUTRITION,PREPARED/PKGD FOODS,1703.8,397,140,149
DRUG GM,HOSIERY/SOCKS,1626.53,315,197,189
DRUG GM,EASTER,1576.94,498,348,146
COSMETICS,FRAGRANCES,1548.0,73,56,65
DRUG GM,SMOKING CESSATIONS,1539.5700000000002,37,19,16
DRUG GM,SPORTS MEMORABLILIA,1521.69,126,105,84
FLORAL,FLORAL-FOLIAGE PLANTS,1503.29,138,108,64
GROCERY,SYRUPS/TOPPINGS,1489.45,584,384,64
TRAVEL & LEISURE,APPLES,1417.19,465,308,18
DRUG GM,PERSONAL CARE APPLIANCES,1357.32,96,85,53
GROCERY,LIQUOR,1354.42,306,199,73
SEAFOOD-PCKGD,SEAFOOD - MISC,1346.42,651,392,74
NUTRITION,NON-DAIRY BEVERAGES,1281.31,325,74,61
FLORAL,FLORAL BALLOONS,1219.31,209,165,119
GROCERY,NEW AGE,1109.92,343,187,41
FLORAL,FLORAL- HARD GOODS,1043.1,148,112,91
DRUG GM,OVERNIGHT PHOTOFINISHING,1029.48,79,51,10
DRUG GM,PORTABLE ELECTRIC APPLIANCES,1027.11,68,63,39
DRUG GM,VALENTINE,990.2,208,170,140
NUTRITION,BAKING,986.39,213,105,57
NUTRITION,CONDIMENTS,969.46,230,126,87
COSMETICS,COSMETIC ACCESSORIES,960.1,130,105,41
DRUG GM,FIREWORKS,900.85,93,84,24
