department,product_category,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
NUTRITION,CEREAL/BREAKFAST,4020.88,841,229,137,4.7810701545778835
DRUG GM,FILM AND CAMERA PRODUCTS,3863.27,504,336,130,7.665218253968254
DELI,PARTY TRAYS,3805.75,236,162,39,16.1260593220339
DRUG GM,COOKWARE & BAKEWARE,3751.46,546,417,188,6.870805860805861
GROCERY,FRZN ICE,3637.45,1319,591,19,2.7577331311599695
DRUG GM,INFANT CARE PRODUCTS,3607.79,645,316,257,5.593472868217054
DRUG GM,NEWSPAPER,3490.11,2744,585,52,1.271905976676385
GROCERY,OLIVES,3430.05,1491,551,85,2.300503018108652
GROCERY,FRZN FRUITS,3426.35,647,269,37,5.295749613601236
GROCERY,FRZN JCE CONC/DRNKS,3357.78,1079,379,85,3.111936978683967
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),3234.1800000000003,518,311,74,6.243590733590734
DRUG GM,ADULT INCONTINENCE,3220.61,308,84,43,10.456525974025974
NUTRITION,CHIPS&SNACKS,3219.01,929,321,135,3.4650269106566203
MEAT-PCKGD,MISCELLANEOUS,3201.0,1226,602,56,2.6109298531810765
GROCERY,FLOUR & MEALS,3114.57,1685,837,69,1.8484094955489616
DRUG GM,CANDLES/ACCESSORIES,2980.07,569,356,326,5.237381370826011
DELI,SANDWICHES,2959.6600000000003,509,191,50,5.814656188605109
PASTRY,SWEET GOODS & SNACKS,2916.6200000000003,886,419,102,3.291896162528217
DELI,SUSHI,2859.04,345,95,66,8.287072463768116
DRUG GM,HARDWARE SUPPLIES,2847.7200000000003,648,435,268,4.39462962962963
FLORAL,FLORAL-FLOWERING PLANTS,2779.4900000000002,289,231,96,9.617612456747406
DRUG GM,COFFEE FILTERS,2722.68,928,514,94,2.9339224137931033
DRUG GM,FAMILY PLANNING,2638.93,307,215,94,8.59586319218241
PRODUCE,PEARS,2570.9,1138,444,23,2.2591388400702987
COSMETICS,BATH,2559.18,592,386,269,4.322939189189189
DRUG GM,HAIR CARE ACCESSORIES,2550.79,713,448,295,3.577545582047686
PRODUCE,CORN,2534.02,1541,647,16,1.6443997404282933
DELI,SNACKS,2388.19,713,320,87,3.3494950911640955
SEAFOOD-PCKGD,SEAFOOD-FRESH,2361.2200000000003,566,279,59,4.171766784452298
GROCERY,FROZEN CHICKEN,2315.62,257,144,14,9.010194552529182
NUTRITION,WATER,2278.44,868,295,57,2.624930875576037
PRODUCE,HERBS,2206.05,1746,635,62,1.2634879725085912
NUTRITION,JUICE,2201.03,575,236,83,3.8278782608695656
GROCERY,CANNED MILK,2186.92,1028,533,38,2.127354085603113
GROCERY,COUPON/MISC ITEMS,2186.21,674,507,12,3.243635014836795
NUTRITION,SNKS/CKYS/CRKR/CNDY,2171.58,552,226,196,3.9340217391304346
DRUG GM,APPAREL,2101.32,235,173,148,8.941787234042554
DRUG GM,LAWN AND GARDEN SHOP,2100.38,199,137,79,10.554673366834171
NUTRITION,RICE CAKES,2083.77,715,315,48,2.9143636363636363
DRUG GM,DOMESTIC GOODS,2080.97,480,334,177,4.335354166666666
DRUG GM,TOBACCO OTHER,2049.07,533,287,71,3.8444090056285183
